STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
JCK,2005-01-01,45361294.57580931,M3,15,M, ,STORAGE,20050101 0000
JCK,2005-02-01,44302967.15919355,M3,15,M, ,STORAGE,20050201 0000
JCK,2005-03-01,43659089.63999376,M3,15,M, ,STORAGE,20050301 0000
JCK,2005-04-01,49462621.685654745,M3,15,M,r,STORAGE,20050401 0000
JCK,2005-05-01,77832703.94924724,M3,15,M,r,STORAGE,20050501 0000
JCK,2005-06-01,85110246.79077749,M3,15,M,r,STORAGE,20050601 0000
JCK,2005-07-01,78572793.05177574,M3,15,M,r,STORAGE,20050701 0000
JCK,2005-08-01,68334893.8001315,M3,15,M,r,STORAGE,20050801 0000
JCK,2005-09-01,55506682.6896375,M3,15,M,r,STORAGE,20050901 0000
JCK,2005-10-01,43393891.04492105,M3,15,M,,STORAGE,20051001 0000
JCK,2005-11-01,43465432.991498806,M3,15,M,,STORAGE,20051101 0000
JCK,2005-12-01,71665294.76150975,M3,15,M,,STORAGE,20051201 0000
