STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
JNK,2005-01-01,41473359.82385959,M3,15,M,r,STORAGE,20050101 0000
JNK,2005-02-01,48963061.54144801,M3,15,M, ,STORAGE,20050201 0000
JNK,2005-03-01,50836720.45268266,M3,15,M, ,STORAGE,20050301 0000
JNK,2005-04-01,50725707.087303385,M3,15,M,r,STORAGE,20050401 0000
JNK,2005-05-01,50636896.394999966,M3,15,M, ,STORAGE,20050501 0000
JNK,2005-06-01,50629495.50397468,M3,15,M, ,STORAGE,20050601 0000
JNK,2005-07-01,47966408.21670963,M3,15,M, ,STORAGE,20050701 0000
JNK,2005-08-01,44368341.69658357,M3,15,M, ,STORAGE,20050801 0000
JNK,2005-09-01,41741025.3826074,M3,15,M, ,STORAGE,20050901 0000
JNK,2005-10-01,39223488.95217295,M3,15,M, ,STORAGE,20051001 0000
JNK,2005-11-01,37993707.56013809,M3,15,M, ,STORAGE,20051101 0000
JNK,2005-12-01,44943144.232880704,M3,15,M, ,STORAGE,20051201 0000
