STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
JNN,2005-01-01,10961953.090284633,M3,15,M, ,STORAGE,20050101 0000
JNN,2005-02-01,11090235.201389572,M3,15,M, ,STORAGE,20050201 0000
JNN,2005-03-01,11100103.056089953,M3,15,M, ,STORAGE,20050301 0000
JNN,2005-04-01,11133407.065703735,M3,15,M, ,STORAGE,20050401 0000
JNN,2005-05-01,11183979.821043182,M3,15,M, ,STORAGE,20050501 0000
JNN,2005-06-01,11023627.182162007,M3,15,M, ,STORAGE,20050601 0000
JNN,2005-07-01,10754728.141576651,M3,15,M, ,STORAGE,20050701 0000
JNN,2005-08-01,9875255.591405284,M3,15,M, ,STORAGE,20050801 0000
JNN,2005-09-01,8713315.70043554,M3,15,M, ,STORAGE,20050901 0000
JNN,2005-10-01,7572345.000704102,M3,15,M, ,STORAGE,20051001 0000
JNN,2005-11-01,7164062.51247588,M3,15,M, ,STORAGE,20051101 0000
JNN,2005-12-01,9529880.676891984,M3,15,M, ,STORAGE,20051201 0000
