STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
KES,2005-01-01,27823649.809558958,M3,15,M, ,STORAGE,20050101 0000
KES,2005-02-01,25964792.680374872,M3,15,M, ,STORAGE,20050201 0000
KES,2005-03-01,26112810.500880573,M3,15,M, ,STORAGE,20050301 0000
KES,2005-04-01,26956512.077763062,M3,15,M, ,STORAGE,20050401 0000
KES,2005-05-01,26551930.035047483,M3,15,M, ,STORAGE,20050501 0000
KES,2005-06-01,27206908.890785206,M3,15,M, ,STORAGE,20050601 0000
KES,2005-07-01,28905413.381088115,M3,15,M, ,STORAGE,20050701 0000
KES,2005-08-01,28435456.800982516,M3,15,M, ,STORAGE,20050801 0000
KES,2005-09-01,27601623.078800406,M3,15,M, ,STORAGE,20050901 0000
KES,2005-10-01,27183472.735871803,M3,15,M, ,STORAGE,20051001 0000
KES,2005-11-01,26978714.750838917,M3,15,M, ,STORAGE,20051101 0000
KES,2005-12-01,25291311.59707394,M3,15,M, ,STORAGE,20051201 0000
