STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
KLM,2005-01-01,436421909.3881936,M3,15,M, ,STORAGE,20050101 0000
KLM,2005-02-01,430941549.58397007,M3,15,M,e,STORAGE,20050201 0000
KLM,2005-03-01,571803941.950057,M3,15,M,r,STORAGE,20050301 0000
KLM,2005-04-01,584230037.9815105,M3,15,M, ,STORAGE,20050401 0000
KLM,2005-05-01,591880092.3379802,M3,15,M, ,STORAGE,20050501 0000
KLM,2005-06-01,541251830.315843,M3,15,M,e,STORAGE,20050601 0000
KLM,2005-07-01,425475991.5617971,M3,15,M, ,STORAGE,20050701 0000
KLM,2005-08-01,301190361.610511,M3,15,M, ,STORAGE,20050801 0000
KLM,2005-09-01,229459692.31161124,M3,15,M, ,STORAGE,20050901 0000
KLM,2005-10-01,217232186.85600287,M3,15,M, ,STORAGE,20051001 0000
KLM,2005-11-01,298621018.9428995,M3,15,M, ,STORAGE,20051101 0000
KLM,2005-12-01,456337707.1372355,M3,15,M, ,STORAGE,20051201 0000
