STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
KNT,2005-01-01,37574323.73537194,M3,15,M, ,STORAGE,20050101 0000
KNT,2005-02-01,40575385.04612501,M3,15,M, ,STORAGE,20050201 0000
KNT,2005-03-01,40575385.04612501,M3,15,M, ,STORAGE,20050301 0000
KNT,2005-04-01,40328688.67861551,M3,15,M, ,STORAGE,20050401 0000
KNT,2005-05-01,40485340.87198404,M3,15,M, ,STORAGE,20050501 0000
KNT,2005-06-01,39451683.09211924,M3,15,M, ,STORAGE,20050601 0000
KNT,2005-07-01,38281108.82828666,M3,15,M, ,STORAGE,20050701 0000
KNT,2005-08-01,36903309.6157461,M3,15,M, ,STORAGE,20050801 0000
KNT,2005-09-01,34911236.44810689,M3,15,M, ,STORAGE,20050901 0000
KNT,2005-10-01,32487444.637326054,M3,15,M, ,STORAGE,20051001 0000
KNT,2005-11-01,30819777.192961834,M3,15,M, ,STORAGE,20051101 0000
KNT,2005-12-01,40575385.04612501,M3,15,M, ,STORAGE,20051201 0000
