STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
LBS,2005-01-01,24958271.500936113,M3,15,M, ,STORAGE,20050101 0000
LBS,2005-02-01,24810253.680430412,M3,15,M, ,STORAGE,20050201 0000
LBS,2005-03-01,26168317.18357021,M3,15,M, ,STORAGE,20050301 0000
LBS,2005-04-01,27251314.236936916,M3,15,M, ,STORAGE,20050401 0000
LBS,2005-05-01,26238625.64831042,M3,15,M, ,STORAGE,20050501 0000
LBS,2005-06-01,25851312.351320505,M3,15,M, ,STORAGE,20050601 0000
LBS,2005-07-01,25367787.471001882,M3,15,M, ,STORAGE,20050701 0000
LBS,2005-08-01,24895363.92722119,M3,15,M, ,STORAGE,20050801 0000
LBS,2005-09-01,24536420.71249487,M3,15,M, ,STORAGE,20050901 0000
LBS,2005-10-01,24274922.562934797,M3,15,M, ,STORAGE,20051001 0000
LBS,2005-11-01,24156508.306530237,M3,15,M, ,STORAGE,20051101 0000
LBS,2005-12-01,24519151.966769204,M3,15,M, ,STORAGE,20051201 0000
