STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
LEW,2005-01-01,17472270.228860337,M3,15,M, ,STORAGE,20050101 0000
LEW,2005-02-01,17004780.612429835,M3,15,M, ,STORAGE,20050201 0000
LEW,2005-03-01,17490772.45642355,M3,15,M, ,STORAGE,20050301 0000
LEW,2005-04-01,17195970.297249697,M3,15,M, ,STORAGE,20050401 0000
LEW,2005-05-01,17519142.53868714,M3,15,M, ,STORAGE,20050501 0000
LEW,2005-06-01,17315618.035491806,M3,15,M, ,STORAGE,20050601 0000
LEW,2005-07-01,17527776.911549974,M3,15,M, ,STORAGE,20050701 0000
LEW,2005-08-01,17731301.414745312,M3,15,M, ,STORAGE,20050801 0000
LEW,2005-09-01,17131829.241697226,M3,15,M, ,STORAGE,20050901 0000
LEW,2005-10-01,17731301.414745312,M3,15,M, ,STORAGE,20051001 0000
LEW,2005-11-01,17150331.46926044,M3,15,M, ,STORAGE,20051101 0000
LEW,2005-12-01,17077556.040845137,M3,15,M, ,STORAGE,20051201 0000
