STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
LGV,2005-01-01,53409763.56580675,M3,15,M,r,STORAGE,20050101 0000
LGV,2005-02-01,60317261.856072746,M3,15,M,r,STORAGE,20050201 0000
LGV,2005-03-01,77270236.23132558,M3,15,M, ,STORAGE,20050301 0000
LGV,2005-04-01,93991316.02111949,M3,15,M,r,STORAGE,20050401 0000
LGV,2005-05-01,114960507.259427,M3,15,M,r,STORAGE,20050501 0000
LGV,2005-06-01,112637860.95932505,M3,15,M, ,STORAGE,20050601 0000
LGV,2005-07-01,105017410.1669566,M3,15,M, ,STORAGE,20050701 0000
LGV,2005-08-01,93991316.02111949,M3,15,M,r,STORAGE,20050801 0000
LGV,2005-09-01,82766631.29943724,M3,15,M,r,STORAGE,20050901 0000
LGV,2005-10-01,64084315.38794281,M3,15,M, ,STORAGE,20051001 0000
LGV,2005-11-01,61347219.19042491,M3,15,M, ,STORAGE,20051101 0000
LGV,2005-12-01,96849293.43871705,M3,15,M, ,STORAGE,20051201 0000
