STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
LNG,2005-01-01,12453232.631879559,M3,15,M, ,STORAGE,20050101 0000
LNG,2005-02-01,15534470.262073215,M3,15,M, ,STORAGE,20050201 0000
LNG,2005-03-01,22571484.145281702,M3,15,M, ,STORAGE,20050301 0000
LNG,2005-04-01,23338709.848236248,M3,15,M, ,STORAGE,20050401 0000
LNG,2005-05-01,22404964.097212788,M3,15,M, ,STORAGE,20050501 0000
LNG,2005-06-01,20421525.302436408,M3,15,M, ,STORAGE,20050601 0000
LNG,2005-07-01,18452888.2897106,M3,15,M, ,STORAGE,20050701 0000
LNG,2005-08-01,17216939.488488004,M3,15,M, ,STORAGE,20050801 0000
LNG,2005-09-01,14202309.877521913,M3,15,M, ,STORAGE,20050901 0000
LNG,2005-10-01,13279665.463036384,M3,15,M, ,STORAGE,20051001 0000
LNG,2005-11-01,12954026.257923845,M3,15,M, ,STORAGE,20051101 0000
LNG,2005-12-01,18586104.32816573,M3,15,M, ,STORAGE,20051201 0000
