STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
LON,2005-01-01,23933248.09393414,M3,15,M, ,STORAGE,20050101 0000
LON,2005-02-01,24483380.993480325,M3,15,M, ,STORAGE,20050201 0000
LON,2005-03-01,30328851.42161793,M3,15,M, ,STORAGE,20050301 0000
LON,2005-04-01,32452907.145874724,M3,15,M, ,STORAGE,20050401 0000
LON,2005-05-01,87529104.67420815,M3,15,M, ,STORAGE,20050501 0000
LON,2005-06-01,91838890.2145991,M3,15,M, ,STORAGE,20050601 0000
LON,2005-07-01,83837293.53442848,M3,15,M, ,STORAGE,20050701 0000
LON,2005-08-01,74763801.13742907,M3,15,M, ,STORAGE,20050801 0000
LON,2005-09-01,69537538.59174031,M3,15,M, ,STORAGE,20050901 0000
LON,2005-10-01,55782982.62124813,M3,15,M, ,STORAGE,20051001 0000
LON,2005-11-01,55010822.9909434,M3,15,M, ,STORAGE,20051101 0000
LON,2005-12-01,81955000.25033098,M3,15,M, ,STORAGE,20051201 0000
