STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
LOT,2005-01-01,51996193.379977316,M3,15,M, ,STORAGE,20050101 0000
LOT,2005-02-01,61323783.03551151,M3,15,M, ,STORAGE,20050201 0000
LOT,2005-03-01,60853826.455405906,M3,15,M, ,STORAGE,20050301 0000
LOT,2005-04-01,60048362.81548739,M3,15,M, ,STORAGE,20050401 0000
LOT,2005-05-01,58444836.42667564,M3,15,M, ,STORAGE,20050501 0000
LOT,2005-06-01,56420692.731260195,M3,15,M, ,STORAGE,20050601 0000
LOT,2005-07-01,54328707.53477964,M3,15,M, ,STORAGE,20050701 0000
LOT,2005-08-01,52600599.48037559,M3,15,M, ,STORAGE,20050801 0000
LOT,2005-09-01,51453461.371456414,M3,15,M, ,STORAGE,20050901 0000
LOT,2005-10-01,50266851.84373572,M3,15,M, ,STORAGE,20051001 0000
LOT,2005-11-01,49039537.415375955,M3,15,M, ,STORAGE,20051101 0000
LOT,2005-12-01,48004646.153673604,M3,15,M, ,STORAGE,20051201 0000
