STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
LPY,2005-01-01,75242392.09039749,M3,15,M,r,STORAGE,20050101 0000
LPY,2005-02-01,83630068.5857205,M3,15,M,r,STORAGE,20050201 0000
LPY,2005-03-01,81656497.6456445,M3,15,M,r,STORAGE,20050301 0000
LPY,2005-04-01,98925243.37130949,M3,15,M,r,STORAGE,20050401 0000
LPY,2005-05-01,98061806.08502625,M3,15,M,r,STORAGE,20050501 0000
LPY,2005-06-01,97568413.35000725,M3,15,M,r,STORAGE,20050601 0000
LPY,2005-07-01,91401004.16226974,M3,15,M,r,STORAGE,20050701 0000
LPY,2005-08-01,80669712.17560649,M3,15,M,r,STORAGE,20050801 0000
LPY,2005-09-01,70061768.372698,M3,15,M,r,STORAGE,20050901 0000
LPY,2005-10-01,54889941.77086375,M3,15,M, ,STORAGE,20051001 0000
LPY,2005-11-01,54643245.40335425,M3,15,M, ,STORAGE,20051101 0000
LPY,2005-12-01,81163104.9106255,M3,15,M, ,STORAGE,20051201 0000
