STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
LRA,2005-01-01,81942665.43195552,M3,15,M, ,STORAGE,20050101 0000
LRA,2005-02-01,97334051.80087322,M3,15,M, ,STORAGE,20050201 0000
LRA,2005-03-01,105216000.74280174,M3,15,M, ,STORAGE,20050301 0000
LRA,2005-04-01,109550455.91994366,M3,15,M, ,STORAGE,20050401 0000
LRA,2005-05-01,107659528.26298334,M3,15,M, ,STORAGE,20050501 0000
LRA,2005-06-01,101008594.19492722,M3,15,M, ,STORAGE,20050601 0000
LRA,2005-07-01,95476428.15352668,M3,15,M, ,STORAGE,20050701 0000
LRA,2005-08-01,91521885.3823494,M3,15,M, ,STORAGE,20050801 0000
LRA,2005-09-01,87276240.8975109,M3,15,M, ,STORAGE,20050901 0000
LRA,2005-10-01,88985846.72435173,M3,15,M, ,STORAGE,20051001 0000
LRA,2005-11-01,86013155.49586226,M3,15,M, ,STORAGE,20051101 0000
LRA,2005-12-01,81235880.3390408,M3,15,M, ,STORAGE,20051201 0000
