STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
LUS,2005-01-01,1250041331.2165751,M3,15,M, ,STORAGE,20050101 0000
LUS,2005-02-01,1356674602.590719,M3,15,M, ,STORAGE,20050201 0000
LUS,2005-03-01,1311576039.6463072,M3,15,M, ,STORAGE,20050301 0000
LUS,2005-04-01,1151297409.675385,M3,15,M, ,STORAGE,20050401 0000
LUS,2005-05-01,988253313.4246814,M3,15,M, ,STORAGE,20050501 0000
LUS,2005-06-01,943254662.5091112,M3,15,M, ,STORAGE,20050601 0000
LUS,2005-07-01,953952650.4861606,M3,15,M, ,STORAGE,20050701 0000
LUS,2005-08-01,1011051758.2280719,M3,15,M, ,STORAGE,20050801 0000
LUS,2005-09-01,1141492462.5487201,M3,15,M, ,STORAGE,20050901 0000
LUS,2005-10-01,1221566402.9967911,M3,15,M, ,STORAGE,20051001 0000
LUS,2005-11-01,1260872535.2320797,M3,15,M, ,STORAGE,20051101 0000
LUS,2005-12-01,1440297270.2854142,M3,15,M, ,STORAGE,20051201 0000
