STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
LVD,2005-01-01,21735183.459424496,M3,15,M, ,STORAGE,20050101 0000
LVD,2005-02-01,25517038.77334513,M3,15,M, ,STORAGE,20050201 0000
LVD,2005-03-01,30952993.231416963,M3,15,M, ,STORAGE,20050301 0000
LVD,2005-04-01,31316870.373493478,M3,15,M, ,STORAGE,20050401 0000
LVD,2005-05-01,31367443.128832925,M3,15,M, ,STORAGE,20050501 0000
LVD,2005-06-01,31316870.373493478,M3,15,M, ,STORAGE,20050601 0000
LVD,2005-07-01,31144182.916236825,M3,15,M, ,STORAGE,20050701 0000
LVD,2005-08-01,30874050.393813923,M3,15,M, ,STORAGE,20050801 0000
LVD,2005-09-01,30610085.28057876,M3,15,M, ,STORAGE,20050901 0000
LVD,2005-10-01,30851847.72073807,M3,15,M, ,STORAGE,20051001 0000
LVD,2005-11-01,30835812.45684995,M3,15,M, ,STORAGE,20051101 0000
LVD,2005-12-01,30924623.14915337,M3,15,M, ,STORAGE,20051201 0000
