STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
LVQ,2005-01-01,96828324.24747874,M3,15,M,,STORAGE,20050101 0000
LVQ,2005-02-01,104290889.36464112,M3,15,M,,STORAGE,20050201 0000
LVQ,2005-03-01,101256524.04427427,M3,15,M,,STORAGE,20050301 0000
LVQ,2005-04-01,102601019.24720104,M3,15,M,,STORAGE,20050401 0000
LVQ,2005-05-01,111667110.75317517,M3,15,M,,STORAGE,20050501 0000
LVQ,2005-06-01,124556995.95554654,M3,15,M,,STORAGE,20050601 0000
LVQ,2005-07-01,127344664.90840389,M3,15,M,,STORAGE,20050701 0000
LVQ,2005-08-01,125642459.97258835,M3,15,M,,STORAGE,20050801 0000
LVQ,2005-09-01,120745537.07752477,M3,15,M,,STORAGE,20050901 0000
LVQ,2005-10-01,118562274.2250657,M3,15,M,,STORAGE,20051001 0000
LVQ,2005-11-01,113591342.41974927,M3,15,M,,STORAGE,20051101 0000
LVQ,2005-12-01,107312919.86663249,M3,15,M,,STORAGE,20051201 0000
