STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
LWB,2005-01-01,18884606.932852224,M3,15,M, ,STORAGE,20050101 0000
LWB,2005-02-01,16260991.064388692,M3,15,M, ,STORAGE,20050201 0000
LWB,2005-03-01,8348205.0765214795,M3,15,M, ,STORAGE,20050301 0000
LWB,2005-04-01,14106098.29419321,M3,15,M, ,STORAGE,20050401 0000
LWB,2005-05-01,59270035.77599492,M3,15,M, ,STORAGE,20050501 0000
LWB,2005-06-01,63491010.62408246,M3,15,M, ,STORAGE,20050601 0000
LWB,2005-07-01,52146678.164158106,M3,15,M, ,STORAGE,20050701 0000
LWB,2005-08-01,39074237.6498297,M3,15,M, ,STORAGE,20050801 0000
LWB,2005-09-01,26091841.309642266,M3,15,M, ,STORAGE,20050901 0000
LWB,2005-10-01,24204614.09819459,M3,15,M, ,STORAGE,20051001 0000
LWB,2005-11-01,21791923.62395168,M3,15,M, ,STORAGE,20051101 0000
LWB,2005-12-01,44459619.352562085,M3,15,M, ,STORAGE,20051201 0000
