STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
LYS,2005-01-01,4921592.531814525,M3,15,M, ,STORAGE,20050101 0000
LYS,2005-02-01,4941328.241215285,M3,15,M, ,STORAGE,20050201 0000
LYS,2005-03-01,4977099.214504162,M3,15,M, ,STORAGE,20050301 0000
LYS,2005-04-01,4926526.459164714,M3,15,M, ,STORAGE,20050401 0000
LYS,2005-05-01,5291637.083078775,M3,15,M, ,STORAGE,20050501 0000
LYS,2005-06-01,6095867.241159745,M3,15,M, ,STORAGE,20050601 0000
LYS,2005-07-01,5994721.73048085,M3,15,M, ,STORAGE,20050701 0000
LYS,2005-08-01,5328641.5382052,M3,15,M,r,STORAGE,20050801 0000
LYS,2005-09-01,4673662.682467477,M3,15,M, ,STORAGE,20050901 0000
LYS,2005-10-01,4507142.634398565,M3,15,M, ,STORAGE,20051001 0000
LYS,2005-11-01,3969344.553227855,M3,15,M, ,STORAGE,20051101 0000
LYS,2005-12-01,5222562.100176115,M3,15,M, ,STORAGE,20051201 0000
