STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
MCO,2005-01-01,26749287.129055083,M3,15,M, ,STORAGE,20050101 0000
MCO,2005-02-01,29237219.995388392,M3,15,M, ,STORAGE,20050201 0000
MCO,2005-03-01,30455900.05088532,M3,15,M, ,STORAGE,20050301 0000
MCO,2005-04-01,34457315.13188941,M3,15,M, ,STORAGE,20050401 0000
MCO,2005-05-01,41563403.998000555,M3,15,M, ,STORAGE,20050501 0000
MCO,2005-06-01,42442876.54817192,M3,15,M, ,STORAGE,20050601 0000
MCO,2005-07-01,37353530.48645094,M3,15,M, ,STORAGE,20050701 0000
MCO,2005-08-01,33856609.477003776,M3,15,M, ,STORAGE,20050801 0000
MCO,2005-09-01,30765503.992109742,M3,15,M, ,STORAGE,20050901 0000
MCO,2005-10-01,29893432.33296366,M3,15,M, ,STORAGE,20051001 0000
MCO,2005-11-01,26844265.23054624,M3,15,M, ,STORAGE,20051101 0000
MCO,2005-12-01,43076886.21267134,M3,15,M, ,STORAGE,20051201 0000
