STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
MCS,2005-01-01,10778164.296490055,M3,15,M, ,STORAGE,20050101 0000
MCS,2005-02-01,10353846.544373715,M3,15,M, ,STORAGE,20050201 0000
MCS,2005-03-01,11904333.214170922,M3,15,M, ,STORAGE,20050301 0000
MCS,2005-04-01,11396138.697101353,M3,15,M, ,STORAGE,20050401 0000
MCS,2005-05-01,12223805.010095725,M3,15,M, ,STORAGE,20050501 0000
MCS,2005-06-01,11909267.141521111,M3,15,M, ,STORAGE,20050601 0000
MCS,2005-07-01,11026094.145837102,M3,15,M, ,STORAGE,20050701 0000
MCS,2005-08-01,9506444.521978581,M3,15,M, ,STORAGE,20050801 0000
MCS,2005-09-01,10706622.349912299,M3,15,M, ,STORAGE,20050901 0000
MCS,2005-10-01,10947151.308234062,M3,15,M, ,STORAGE,20051001 0000
MCS,2005-11-01,10921248.189645564,M3,15,M, ,STORAGE,20051101 0000
MCS,2005-12-01,11805654.667167122,M3,15,M, ,STORAGE,20051201 0000
