STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
MDO,2005-01-01,23263467.45614585,M3,15,M, ,STORAGE,20050101 0000
MDO,2005-02-01,25829109.67824465,M3,15,M, ,STORAGE,20050201 0000
MDO,2005-03-01,26888670.57669795,M3,15,M, ,STORAGE,20050301 0000
MDO,2005-04-01,27950698.43882635,M3,15,M, ,STORAGE,20050401 0000
MDO,2005-05-01,31700483.224970747,M3,15,M, ,STORAGE,20050501 0000
MDO,2005-06-01,23862939.629193936,M3,15,M, ,STORAGE,20050601 0000
MDO,2005-07-01,28313342.099065315,M3,15,M, ,STORAGE,20050701 0000
MDO,2005-08-01,25705761.494489897,M3,15,M, ,STORAGE,20050801 0000
MDO,2005-09-01,27277217.355525415,M3,15,M, ,STORAGE,20050901 0000
MDO,2005-10-01,21764787.023525637,M3,15,M, ,STORAGE,20051001 0000
MDO,2005-11-01,19217647.02899005,M3,15,M, ,STORAGE,20051101 0000
MDO,2005-12-01,23441088.840752687,M3,15,M, ,STORAGE,20051201 0000
