STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
MHW,2005-01-01,202476043.6334221,M3,15,M, ,STORAGE,20050101 0000
MHW,2005-02-01,205706532.565959,M3,15,M, ,STORAGE,20050201 0000
MHW,2005-03-01,204550760.08417702,M3,15,M, ,STORAGE,20050301 0000
MHW,2005-04-01,203320978.69214216,M3,15,M, ,STORAGE,20050401 0000
MHW,2005-05-01,194642200.48315793,M3,15,M, ,STORAGE,20050501 0000
MHW,2005-06-01,183043770.7646988,M3,15,M, ,STORAGE,20050601 0000
MHW,2005-07-01,172850276.85920626,M3,15,M, ,STORAGE,20050701 0000
MHW,2005-08-01,164008679.04766577,M3,15,M, ,STORAGE,20050801 0000
MHW,2005-09-01,170436352.9031258,M3,15,M, ,STORAGE,20050901 0000
MHW,2005-10-01,197833217.99689332,M3,15,M, ,STORAGE,20051001 0000
MHW,2005-11-01,196598502.67750826,M3,15,M, ,STORAGE,20051101 0000
MHW,2005-12-01,184891526.55734494,M3,15,M, ,STORAGE,20051201 0000
