STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
MIL,2005-01-01,512234170.08753806,M3,15,M, ,STORAGE,20050101 0000
MIL,2005-02-01,503145875.90848804,M3,15,M, ,STORAGE,20050201 0000
MIL,2005-03-01,604021254.0649601,M3,15,M, ,STORAGE,20050301 0000
MIL,2005-04-01,511170908.7435721,M3,15,M, ,STORAGE,20050401 0000
MIL,2005-05-01,557562160.6537336,M3,15,M, ,STORAGE,20050501 0000
MIL,2005-06-01,627933532.967656,M3,15,M, ,STORAGE,20050601 0000
MIL,2005-07-01,560464543.4174829,M3,15,M, ,STORAGE,20050701 0000
MIL,2005-08-01,371771425.8368165,M3,15,M,r,STORAGE,20050801 0000
MIL,2005-09-01,290710699.91870743,M3,15,M, ,STORAGE,20050901 0000
MIL,2005-10-01,287427171.267156,M3,15,M, ,STORAGE,20051001 0000
MIL,2005-11-01,317311969.22725683,M3,15,M, ,STORAGE,20051101 0000
MIL,2005-12-01,401508205.9764116,M3,15,M, ,STORAGE,20051201 0000
