STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
MOR,2005-01-01,7144326.80307512,M3,15,M, ,STORAGE,20050101 0000
MOR,2005-02-01,12030148.361600766,M3,15,M, ,STORAGE,20050201 0000
MOR,2005-03-01,15386452.441567514,M3,15,M, ,STORAGE,20050301 0000
MOR,2005-04-01,16819758.33679771,M3,15,M, ,STORAGE,20050401 0000
MOR,2005-05-01,17596851.894452635,M3,15,M, ,STORAGE,20050501 0000
MOR,2005-06-01,17382226.05471937,M3,15,M, ,STORAGE,20050601 0000
MOR,2005-07-01,16957908.30260303,M3,15,M, ,STORAGE,20050701 0000
MOR,2005-08-01,16543458.405187069,M3,15,M, ,STORAGE,20050801 0000
MOR,2005-09-01,16105572.352857707,M3,15,M, ,STORAGE,20050901 0000
MOR,2005-10-01,15739228.2471061,M3,15,M, ,STORAGE,20051001 0000
MOR,2005-11-01,15514734.552672455,M3,15,M, ,STORAGE,20051101 0000
MOR,2005-12-01,15005306.553765336,M3,15,M, ,STORAGE,20051201 0000
