STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
MPL,2005-01-01,89660561.28949022,M3,15,M, ,STORAGE,20050101 0000
MPL,2005-02-01,46952486.146245584,M3,15,M,r,STORAGE,20050201 0000
MPL,2005-03-01,49886939.43777109,M3,15,M, ,STORAGE,20050301 0000
MPL,2005-04-01,101277493.23551258,M3,15,M, ,STORAGE,20050401 0000
MPL,2005-05-01,152796329.144359,M3,15,M,r,STORAGE,20050501 0000
MPL,2005-06-01,150978176.91581398,M3,15,M, ,STORAGE,20050601 0000
MPL,2005-07-01,135324058.91549867,M3,15,M,r,STORAGE,20050701 0000
MPL,2005-08-01,65521321.72868565,M3,15,M, ,STORAGE,20050801 0000
MPL,2005-09-01,22152100.32051555,M3,15,M, ,STORAGE,20050901 0000
MPL,2005-10-01,9374461.965361,M3,15,M, ,STORAGE,20051001 0000
MPL,2005-11-01,22398796.68802505,M3,15,M, ,STORAGE,20051101 0000
MPL,2005-12-01,80193588.18631317,M3,15,M,r,STORAGE,20051201 0000
