STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
NAT,2005-01-01,9726004.289062036,M3,15,M, ,STORAGE,20050101 0000
NAT,2005-02-01,8816928.17478953,M3,15,M, ,STORAGE,20050201 0000
NAT,2005-03-01,10436489.827489397,M3,15,M, ,STORAGE,20050301 0000
NAT,2005-04-01,9432435.611725733,M3,15,M, ,STORAGE,20050401 0000
NAT,2005-05-01,8609703.22608155,M3,15,M, ,STORAGE,20050501 0000
NAT,2005-06-01,10045476.08498684,M3,15,M, ,STORAGE,20050601 0000
NAT,2005-07-01,10640014.330684735,M3,15,M, ,STORAGE,20050701 0000
NAT,2005-08-01,10701688.42256211,M3,15,M, ,STORAGE,20050801 0000
NAT,2005-09-01,10091114.912976097,M3,15,M, ,STORAGE,20050901 0000
NAT,2005-10-01,10004771.184347771,M3,15,M, ,STORAGE,20051001 0000
NAT,2005-11-01,10313141.643734647,M3,15,M, ,STORAGE,20051101 0000
NAT,2005-12-01,8967412.958970325,M3,15,M, ,STORAGE,20051201 0000
