STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
NCA,2005-01-01,27666997.616190422,M3,15,M, ,STORAGE,20050101 0000
NCA,2005-02-01,27666997.616190422,M3,15,M, ,STORAGE,20050201 0000
NCA,2005-03-01,27666997.616190422,M3,15,M, ,STORAGE,20050301 0000
NCA,2005-04-01,27666997.616190422,M3,15,M, ,STORAGE,20050401 0000
NCA,2005-05-01,27666997.616190422,M3,15,M, ,STORAGE,20050501 0000
NCA,2005-06-01,27235278.9730488,M3,15,M, ,STORAGE,20050601 0000
NCA,2005-07-01,24917566.600297045,M3,15,M, ,STORAGE,20050701 0000
NCA,2005-08-01,10051643.494174577,M3,15,M, ,STORAGE,20050801 0000
NCA,2005-09-01,21655007.139983907,M3,15,M, ,STORAGE,20050901 0000
NCA,2005-10-01,21478619.237214617,M3,15,M, ,STORAGE,20051001 0000
NCA,2005-11-01,21445315.227600835,M3,15,M, ,STORAGE,20051101 0000
NCA,2005-12-01,27666997.616190422,M3,15,M, ,STORAGE,20051201 0000
