STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
NCM,2005-01-01,346768748.9897286,M3,15,M, ,STORAGE,20050101 0000
NCM,2005-02-01,376119449.31417143,M3,15,M, ,STORAGE,20050201 0000
NCM,2005-03-01,426538019.42392546,M3,15,M, ,STORAGE,20050301 0000
NCM,2005-04-01,439282353.7694662,M3,15,M, ,STORAGE,20050401 0000
NCM,2005-05-01,433213623.12873256,M3,15,M, ,STORAGE,20050501 0000
NCM,2005-06-01,412494828.70344716,M3,15,M, ,STORAGE,20050601 0000
NCM,2005-07-01,375496540.9862099,M3,15,M, ,STORAGE,20050701 0000
NCM,2005-08-01,342537906.28694075,M3,15,M, ,STORAGE,20050801 0000
NCM,2005-09-01,338689442.9537925,M3,15,M, ,STORAGE,20050901 0000
NCM,2005-10-01,335151817.0437063,M3,15,M, ,STORAGE,20051001 0000
NCM,2005-11-01,284909634.83672154,M3,15,M, ,STORAGE,20051101 0000
NCM,2005-12-01,289469817.19013464,M3,15,M, ,STORAGE,20051201 0000
