STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
NHG,2005-01-01,205325386.67815685,M3,15,M, ,STORAGE,20050101 0000
NHG,2005-02-01,239338648.34852916,M3,15,M, ,STORAGE,20050201 0000
NHG,2005-03-01,292817486.89723855,M3,15,M, ,STORAGE,20050301 0000
NHG,2005-04-01,307452748.8997396,M3,15,M, ,STORAGE,20050401 0000
NHG,2005-05-01,313239012.19967496,M3,15,M, ,STORAGE,20050501 0000
NHG,2005-06-01,303811510.51529944,M3,15,M, ,STORAGE,20050601 0000
NHG,2005-07-01,286772192.41141826,M3,15,M, ,STORAGE,20050701 0000
NHG,2005-08-01,269695869.8524107,M3,15,M, ,STORAGE,20050801 0000
NHG,2005-09-01,254309417.41084316,M3,15,M, ,STORAGE,20050901 0000
NHG,2005-10-01,245855132.8962926,M3,15,M, ,STORAGE,20051001 0000
NHG,2005-11-01,214973681.61145338,M3,15,M, ,STORAGE,20051101 0000
NHG,2005-12-01,238229748.17657396,M3,15,M, ,STORAGE,20051201 0000
