STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
ONF,2005-01-01,63821583.75654519,M3,15,M, ,STORAGE,20050101 0000
ONF,2005-02-01,59844838.312292054,M3,15,M, ,STORAGE,20050201 0000
ONF,2005-03-01,54252231.66085169,M3,15,M, ,STORAGE,20050301 0000
ONF,2005-04-01,58322721.72475844,M3,15,M, ,STORAGE,20050401 0000
ONF,2005-05-01,60238319.018469706,M3,15,M, ,STORAGE,20050501 0000
ONF,2005-06-01,51793902.35861952,M3,15,M, ,STORAGE,20050601 0000
ONF,2005-07-01,56186331.18212617,M3,15,M, ,STORAGE,20050701 0000
ONF,2005-08-01,60303693.55585972,M3,15,M, ,STORAGE,20050801 0000
ONF,2005-09-01,55185977.41187514,M3,15,M, ,STORAGE,20050901 0000
ONF,2005-10-01,61977528.40941168,M3,15,M, ,STORAGE,20051001 0000
ONF,2005-11-01,57609769.22265598,M3,15,M, ,STORAGE,20051101 0000
ONF,2005-12-01,66769605.348283716,M3,15,M, ,STORAGE,20051201 0000
