STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
ORO,2005-01-01,2238410591.933986,M3,15,M, ,STORAGE,20050101 0000
ORO,2005-02-01,2495920894.713265,M3,15,M,r,STORAGE,20050201 0000
ORO,2005-03-01,3031375360.392635,M3,15,M, ,STORAGE,20050301 0000
ORO,2005-04-01,3505414765.3805146,M3,15,M, ,STORAGE,20050401 0000
ORO,2005-05-01,4311120167.739191,M3,15,M, ,STORAGE,20050501 0000
ORO,2005-06-01,4293173007.002875,M3,15,M, ,STORAGE,20050601 0000
ORO,2005-07-01,4016166290.29932,M3,15,M, ,STORAGE,20050701 0000
ORO,2005-08-01,3740316579.5593853,M3,15,M, ,STORAGE,20050801 0000
ORO,2005-09-01,3549152797.8581114,M3,15,M, ,STORAGE,20050901 0000
ORO,2005-10-01,3379901821.0008683,M3,15,M, ,STORAGE,20051001 0000
ORO,2005-11-01,3226543024.138588,M3,15,M, ,STORAGE,20051101 0000
ORO,2005-12-01,3607379307.999541,M3,15,M, ,STORAGE,20051201 0000
