STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
PAR,2005-01-01,222338801.6634495,M3,15,M, ,STORAGE,20050101 0000
PAR,2005-02-01,226220569.0062115,M3,15,M, ,STORAGE,20050201 0000
PAR,2005-03-01,228958898.68556693,M3,15,M, ,STORAGE,20050301 0000
PAR,2005-04-01,231179165.99315244,M3,15,M, ,STORAGE,20050401 0000
PAR,2005-05-01,233781812.67037767,M3,15,M, ,STORAGE,20050501 0000
PAR,2005-06-01,242194158.8024516,M3,15,M, ,STORAGE,20050601 0000
PAR,2005-07-01,241965964.66250533,M3,15,M, ,STORAGE,20050701 0000
PAR,2005-08-01,238962436.38807717,M3,15,M, ,STORAGE,20050801 0000
PAR,2005-09-01,239566842.48847544,M3,15,M, ,STORAGE,20050901 0000
PAR,2005-10-01,207348296.89173475,M3,15,M, ,STORAGE,20051001 0000
PAR,2005-11-01,208273408.26989537,M3,15,M, ,STORAGE,20051101 0000
PAR,2005-12-01,248410907.263691,M3,15,M, ,STORAGE,20051201 0000
