STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
PNF,2005-01-01,421220479.2222582,M3,15,M, ,STORAGE,20050101 0000
PNF,2005-02-01,536906273.8021631,M3,15,M, ,STORAGE,20050201 0000
PNF,2005-03-01,700649754.2547562,M3,15,M, ,STORAGE,20050301 0000
PNF,2005-04-01,816281275.6338091,M3,15,M, ,STORAGE,20050401 0000
PNF,2005-05-01,1085945074.9584434,M3,15,M, ,STORAGE,20050501 0000
PNF,2005-06-01,1210682159.262272,M3,15,M, ,STORAGE,20050601 0000
PNF,2005-07-01,1033614608.0004908,M3,15,M, ,STORAGE,20050701 0000
PNF,2005-08-01,754827977.005355,M3,15,M, ,STORAGE,20050801 0000
PNF,2005-09-01,637747114.467184,M3,15,M, ,STORAGE,20050901 0000
PNF,2005-10-01,556512467.6099806,M3,15,M, ,STORAGE,20051001 0000
PNF,2005-11-01,566836710.5902532,M3,15,M, ,STORAGE,20051101 0000
PNF,2005-12-01,643116460.9060282,M3,15,M, ,STORAGE,20051201 0000
