STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
PRS,2005-01-01,6068730.640733699,M3,15,M,r,STORAGE,20050101 0000
PRS,2005-02-01,6130404.732611075,M3,15,M,r,STORAGE,20050201 0000
PRS,2005-03-01,11868562.240882045,M3,15,M, ,STORAGE,20050301 0000
PRS,2005-04-01,19859057.58451475,M3,15,M,r,STORAGE,20050401 0000
PRS,2005-05-01,33057313.246273,M3,15,M,r,STORAGE,20050501 0000
PRS,2005-06-01,34414143.26757525,M3,15,M,r,STORAGE,20050601 0000
PRS,2005-07-01,30590349.571177997,M3,15,M,r,STORAGE,20050701 0000
PRS,2005-08-01,25163029.485969,M3,15,M,r,STORAGE,20050801 0000
PRS,2005-09-01,17762138.460683998,M3,15,M,r,STORAGE,20050901 0000
PRS,2005-10-01,12162130.91821835,M3,15,M,r,STORAGE,20051001 0000
PRS,2005-11-01,12334818.375474999,M3,15,M,r,STORAGE,20051101 0000
PRS,2005-12-01,15418522.96934375,M3,15,M,r,STORAGE,20051201 0000
