STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
PRU,2005-01-01,102872385.25146149,M3,15,M,r,STORAGE,20050101 0000
PRU,2005-02-01,103489126.17023525,M3,15,M,r,STORAGE,20050201 0000
PRU,2005-03-01,102008947.96517825,M3,15,M,r,STORAGE,20050301 0000
PRU,2005-04-01,102502340.70019725,M3,15,M,r,STORAGE,20050401 0000
PRU,2005-05-01,101392207.0464045,M3,15,M,r,STORAGE,20050501 0000
PRU,2005-06-01,99418636.10632849,M3,15,M,r,STORAGE,20050601 0000
PRU,2005-07-01,91524352.3460245,M3,15,M,r,STORAGE,20050701 0000
PRU,2005-08-01,87577210.4658725,M3,15,M,r,STORAGE,20050801 0000
PRU,2005-09-01,70801857.47522649,M3,15,M,r,STORAGE,20050901 0000
PRU,2005-10-01,64511100.10373425,M3,15,M,r,STORAGE,20051001 0000
PRU,2005-11-01,65867930.12503649,M3,15,M,r,STORAGE,20051101 0000
PRU,2005-12-01,67594804.697603,M3,15,M,r,STORAGE,20051201 0000
