STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
PT7,2005-01-01,40856618.90508584,M3,15,M, ,STORAGE,20050101 0000
PT7,2005-02-01,40070890.974568084,M3,15,M, ,STORAGE,20050201 0000
PT7,2005-03-01,40856618.90508584,M3,15,M, ,STORAGE,20050301 0000
PT7,2005-04-01,40518644.881597824,M3,15,M, ,STORAGE,20050401 0000
PT7,2005-05-01,40294151.18716418,M3,15,M, ,STORAGE,20050501 0000
PT7,2005-06-01,40518644.881597824,M3,15,M, ,STORAGE,20050601 0000
PT7,2005-07-01,39403577.300454885,M3,15,M, ,STORAGE,20050701 0000
PT7,2005-08-01,38853444.4009087,M3,15,M, ,STORAGE,20050801 0000
PT7,2005-09-01,39570097.348523796,M3,15,M, ,STORAGE,20050901 0000
PT7,2005-10-01,41253800.056776136,M3,15,M, ,STORAGE,20051001 0000
PT7,2005-11-01,38963224.28445043,M3,15,M, ,STORAGE,20051101 0000
PT7,2005-12-01,39903137.444661625,M3,15,M, ,STORAGE,20051201 0000
