STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
PYM,2005-01-01,203013841.7145928,M3,15,M, ,STORAGE,20050101 0000
PYM,2005-02-01,206495960.94198942,M3,15,M, ,STORAGE,20050201 0000
PYM,2005-03-01,209140546.00169125,M3,15,M, ,STORAGE,20050301 0000
PYM,2005-04-01,200622120.43158823,M3,15,M, ,STORAGE,20050401 0000
PYM,2005-05-01,208092086.43977588,M3,15,M, ,STORAGE,20050501 0000
PYM,2005-06-01,202748643.1195201,M3,15,M, ,STORAGE,20050601 0000
PYM,2005-07-01,206289969.475119,M3,15,M, ,STORAGE,20050701 0000
PYM,2005-08-01,194645900.9286706,M3,15,M, ,STORAGE,20050801 0000
PYM,2005-09-01,197618592.15716007,M3,15,M, ,STORAGE,20050901 0000
PYM,2005-10-01,205754638.35762337,M3,15,M, ,STORAGE,20051001 0000
PYM,2005-11-01,195801673.4104526,M3,15,M, ,STORAGE,20051101 0000
PYM,2005-12-01,204482918.58311188,M3,15,M, ,STORAGE,20051201 0000
