STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
RDN,2005-01-01,22953863.514921427,M3,15,M, ,STORAGE,20050101 0000
RDN,2005-02-01,30941891.894879036,M3,15,M, ,STORAGE,20050201 0000
RDN,2005-03-01,28751228.151394676,M3,15,M, ,STORAGE,20050301 0000
RDN,2005-04-01,29499951.62678601,M3,15,M, ,STORAGE,20050401 0000
RDN,2005-05-01,29287792.75072784,M3,15,M, ,STORAGE,20050501 0000
RDN,2005-06-01,29672639.084042657,M3,15,M, ,STORAGE,20050601 0000
RDN,2005-07-01,30307882.230379622,M3,15,M, ,STORAGE,20050701 0000
RDN,2005-08-01,30158630.928036373,M3,15,M, ,STORAGE,20050801 0000
RDN,2005-09-01,30623653.580791783,M3,15,M,r,STORAGE,20050901 0000
RDN,2005-10-01,15992092.023803337,M3,15,M, ,STORAGE,20051001 0000
RDN,2005-11-01,23005669.752098422,M3,15,M, ,STORAGE,20051101 0000
RDN,2005-12-01,28387351.00931816,M3,15,M,r,STORAGE,20051201 0000
