STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
RLC,2005-01-01,14768478.040956216,M3,15,M, ,STORAGE,20050101 0000
RLC,2005-02-01,14962134.689451175,M3,15,M, ,STORAGE,20050201 0000
RLC,2005-03-01,14832619.096508687,M3,15,M, ,STORAGE,20050301 0000
RLC,2005-04-01,14768478.040956216,M3,15,M, ,STORAGE,20050401 0000
RLC,2005-05-01,14379931.262128754,M3,15,M, ,STORAGE,20050501 0000
RLC,2005-06-01,13670679.205538942,M3,15,M, ,STORAGE,20050601 0000
RLC,2005-07-01,13160017.724794276,M3,15,M, ,STORAGE,20050701 0000
RLC,2005-08-01,12410060.767565398,M3,15,M, ,STORAGE,20050801 0000
RLC,2005-09-01,11740280.129777104,M3,15,M, ,STORAGE,20050901 0000
RLC,2005-10-01,12104157.271853616,M3,15,M, ,STORAGE,20051001 0000
RLC,2005-11-01,11681073.001574824,M3,15,M, ,STORAGE,20051101 0000
RLC,2005-12-01,11382570.396888329,M3,15,M, ,STORAGE,20051201 0000
