STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
RLF,2005-01-01,4899389.85873867,M3,15,M, ,STORAGE,20050101 0000
RLF,2005-02-01,3813925.8416968696,M3,15,M, ,STORAGE,20050201 0000
RLF,2005-03-01,3848463.3331481996,M3,15,M,r,STORAGE,20050301 0000
RLF,2005-04-01,6352431.463369625,M3,15,M,r,STORAGE,20050401 0000
RLF,2005-05-01,18418350.79825927,M3,15,M, ,STORAGE,20050501 0000
RLF,2005-06-01,18502227.5632125,M3,15,M,r,STORAGE,20050601 0000
RLF,2005-07-01,17885486.644438747,M3,15,M,r,STORAGE,20050701 0000
RLF,2005-08-01,13077374.441678595,M3,15,M, ,STORAGE,20050801 0000
RLF,2005-09-01,10566005.420431884,M3,15,M, ,STORAGE,20050901 0000
RLF,2005-10-01,8713315.70043554,M3,15,M, ,STORAGE,20051001 0000
RLF,2005-11-01,7115956.720811527,M3,15,M, ,STORAGE,20051101 0000
RLF,2005-12-01,8999483.486746559,M3,15,M, ,STORAGE,20051201 0000
