STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
RLL,2005-01-01,71815779.54569054,M3,15,M, ,STORAGE,20050101 0000
RLL,2005-02-01,78696141.2355305,M3,15,M,r,STORAGE,20050201 0000
RLL,2005-03-01,82273238.56441824,M3,15,M, ,STORAGE,20050301 0000
RLL,2005-04-01,81903194.013154,M3,15,M, ,STORAGE,20050401 0000
RLL,2005-05-01,82026542.19690874,M3,15,M, ,STORAGE,20050501 0000
RLL,2005-06-01,81656497.6456445,M3,15,M, ,STORAGE,20050601 0000
RLL,2005-07-01,81039756.72687075,M3,15,M, ,STORAGE,20050701 0000
RLL,2005-08-01,79559578.52181375,M3,15,M, ,STORAGE,20050801 0000
RLL,2005-09-01,64264403.73622475,M3,15,M, ,STORAGE,20050901 0000
RLL,2005-10-01,81903194.013154,M3,15,M,r,STORAGE,20051001 0000
RLL,2005-11-01,78326096.68426624,M3,15,M,r,STORAGE,20051101 0000
RLL,2005-12-01,84616854.05575849,M3,15,M,r,STORAGE,20051201 0000
