STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
RTD,2005-01-01,61244840.19790847,M3,15,M,r,STORAGE,20050101 0000
RTD,2005-02-01,60118671.2802276,M3,15,M,r,STORAGE,20050201 0000
RTD,2005-03-01,61912153.87202167,M3,15,M,r,STORAGE,20050301 0000
RTD,2005-04-01,59714089.23751202,M3,15,M,r,STORAGE,20050401 0000
RTD,2005-05-01,59661049.518497474,M3,15,M,r,STORAGE,20050501 0000
RTD,2005-06-01,58002016.44699609,M3,15,M,r,STORAGE,20050601 0000
RTD,2005-07-01,56864746.19277729,M3,15,M,r,STORAGE,20050701 0000
RTD,2005-08-01,52630203.044476725,M3,15,M,r,STORAGE,20050801 0000
RTD,2005-09-01,46841472.78086631,M3,15,M,r,STORAGE,20050901 0000
RTD,2005-10-01,40428600.70745686,M3,15,M,r,STORAGE,20051001 0000
RTD,2005-11-01,38652386.86138846,M3,15,M,r,STORAGE,20051101 0000
RTD,2005-12-01,73677103.63854972,M3,15,M,r,STORAGE,20051201 0000
