STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
SCC,2005-01-01,11047063.337075409,M3,15,M, ,STORAGE,20050101 0000
SCC,2005-02-01,19030157.789682828,M3,15,M, ,STORAGE,20050201 0000
SCC,2005-03-01,33592644.363768615,M3,15,M, ,STORAGE,20050301 0000
SCC,2005-04-01,33995992.924646646,M3,15,M, ,STORAGE,20050401 0000
SCC,2005-05-01,48016980.97204908,M3,15,M, ,STORAGE,20050501 0000
SCC,2005-06-01,39494854.9564334,M3,15,M, ,STORAGE,20050601 0000
SCC,2005-07-01,26378009.095953286,M3,15,M, ,STORAGE,20050701 0000
SCC,2005-08-01,7799305.658812842,M3,15,M, ,STORAGE,20050801 0000
SCC,2005-09-01,6118069.914235599,M3,15,M, ,STORAGE,20050901 0000
SCC,2005-10-01,6110669.023210315,M3,15,M, ,STORAGE,20051001 0000
SCC,2005-11-01,7309613.369306484,M3,15,M, ,STORAGE,20051101 0000
SCC,2005-12-01,13739754.188441603,M3,15,M, ,STORAGE,20051201 0000
