STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
SDB,2005-01-01,5155954.080948549,M3,15,M,r,STORAGE,20050101 0000
SDB,2005-02-01,4465204.25192195,M3,15,M,r,STORAGE,20050201 0000
SDB,2005-03-01,3774454.42289535,M3,15,M,r,STORAGE,20050301 0000
SDB,2005-04-01,3089872.0030564875,M3,15,M,,STORAGE,20050401 0000
SDB,2005-05-01,4625556.890803125,M3,15,M,r,STORAGE,20050501 0000
SDB,2005-06-01,7277542.841530249,M3,15,M,r,STORAGE,20050601 0000
SDB,2005-07-01,9978868.065759275,M3,15,M,r,STORAGE,20050701 0000
SDB,2005-08-01,10052876.976012124,M3,15,M,r,STORAGE,20050801 0000
SDB,2005-09-01,9115430.779476024,M3,15,M,r,STORAGE,20050901 0000
SDB,2005-10-01,8177984.582939925,M3,15,M,r,STORAGE,20051001 0000
SDB,2005-11-01,7203533.9312774,M3,15,M,r,STORAGE,20051101 0000
SDB,2005-12-01,6525118.920626274,M3,15,M,r,STORAGE,20051201 0000
