STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
SGB,2005-01-01,47477949.40904082,M3,15,M, ,STORAGE,20050101 0000
SGB,2005-02-01,43236005.36971497,M3,15,M, ,STORAGE,20050201 0000
SGB,2005-03-01,51080949.85651707,M3,15,M, ,STORAGE,20050301 0000
SGB,2005-04-01,34654672.225897014,M3,15,M, ,STORAGE,20050401 0000
SGB,2005-05-01,7160362.066963237,M3,15,M, ,STORAGE,20050501 0000
SGB,2005-06-01,2259738.7263870197,M3,15,M, ,STORAGE,20050601 0000
SGB,2005-07-01,2894981.872723982,M3,15,M, ,STORAGE,20050701 0000
SGB,2005-08-01,2010575.3952024248,M3,15,M, ,STORAGE,20050801 0000
SGB,2005-09-01,2724761.3791424274,M3,15,M, ,STORAGE,20050901 0000
SGB,2005-10-01,2584144.4496620125,M3,15,M, ,STORAGE,20051001 0000
SGB,2005-11-01,3211986.7049736897,M3,15,M, ,STORAGE,20051101 0000
SGB,2005-12-01,6322827.899268485,M3,15,M, ,STORAGE,20051201 0000
