STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
SGC,2005-01-01,31358808.75597009,M3,15,M, ,STORAGE,20050101 0000
SGC,2005-02-01,31795461.326461907,M3,15,M, ,STORAGE,20050201 0000
SGC,2005-03-01,30935724.485691298,M3,15,M, ,STORAGE,20050301 0000
SGC,2005-04-01,31218191.826489676,M3,15,M, ,STORAGE,20050401 0000
SGC,2005-05-01,30935724.485691298,M3,15,M, ,STORAGE,20050501 0000
SGC,2005-06-01,29599863.655627355,M3,15,M, ,STORAGE,20050601 0000
SGC,2005-07-01,27996337.266815607,M3,15,M, ,STORAGE,20050701 0000
SGC,2005-08-01,25799506.11414351,M3,15,M, ,STORAGE,20050801 0000
SGC,2005-09-01,23830869.101417698,M3,15,M, ,STORAGE,20050901 0000
SGC,2005-10-01,21953509.744670402,M3,15,M, ,STORAGE,20051001 0000
SGC,2005-11-01,20654653.369732887,M3,15,M, ,STORAGE,20051101 0000
SGC,2005-12-01,19270686.748004593,M3,15,M, ,STORAGE,20051201 0000
