STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
SHA,2005-01-01,3493258801.871484,M3,15,M, ,STORAGE,20050101 0000
SHA,2005-02-01,3907739536.3333826,M3,15,M, ,STORAGE,20050201 0000
SHA,2005-03-01,4720585565.049622,M3,15,M, ,STORAGE,20050301 0000
SHA,2005-04-01,5189546725.312319,M3,15,M, ,STORAGE,20050401 0000
SHA,2005-05-01,5511179581.416504,M3,15,M, ,STORAGE,20050501 0000
SHA,2005-06-01,5201819869.595916,M3,15,M, ,STORAGE,20050601 0000
SHA,2005-07-01,4488904371.948587,M3,15,M, ,STORAGE,20050701 0000
SHA,2005-08-01,4035665171.187271,M3,15,M, ,STORAGE,20050801 0000
SHA,2005-09-01,3743416319.417142,M3,15,M, ,STORAGE,20050901 0000
SHA,2005-10-01,3522051968.405355,M3,15,M, ,STORAGE,20051001 0000
SHA,2005-11-01,3572213974.292899,M3,15,M, ,STORAGE,20051101 0000
SHA,2005-12-01,4631436898.722713,M3,15,M, ,STORAGE,20051201 0000
