STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
SIV,2005-01-01,2639651.13235165,M3,15,M,r,STORAGE,20050101 0000
SIV,2005-02-01,2787668.95285735,M3,15,M,r,STORAGE,20050201 0000
SIV,2005-03-01,3404409.8716311,M3,15,M,r,STORAGE,20050301 0000
SIV,2005-04-01,4440534.615170999,M3,15,M,r,STORAGE,20050401 0000
SIV,2005-05-01,5748025.36297135,M3,15,M,r,STORAGE,20050501 0000
SIV,2005-06-01,10262568.8883952,M3,15,M,r,STORAGE,20050601 0000
SIV,2005-07-01,9929528.792257374,M3,15,M,r,STORAGE,20050701 0000
SIV,2005-08-01,8449350.587200375,M3,15,M,r,STORAGE,20050801 0000
SIV,2005-09-01,5834369.091599675,M3,15,M,r,STORAGE,20050901 0000
SIV,2005-10-01,3890401.715624815,M3,15,M, ,STORAGE,20051001 0000
SIV,2005-11-01,2206699.0073724776,M3,15,M, ,STORAGE,20051101 0000
SIV,2005-12-01,6177277.042437879,M3,15,M,e,STORAGE,20051201 0000
