STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
SKN,2005-01-01,46667551.84177211,M3,15,M, ,STORAGE,20050101 0000
SKN,2005-02-01,47202882.95926773,M3,15,M, ,STORAGE,20050201 0000
SKN,2005-03-01,47368169.52549909,M3,15,M, ,STORAGE,20050301 0000
SKN,2005-04-01,51405355.57979206,M3,15,M, ,STORAGE,20050401 0000
SKN,2005-05-01,47098037.00307619,M3,15,M, ,STORAGE,20050501 0000
SKN,2005-06-01,42698207.28854426,M3,15,M, ,STORAGE,20050601 0000
SKN,2005-07-01,47342266.4069106,M3,15,M, ,STORAGE,20050701 0000
SKN,2005-08-01,43620851.70302979,M3,15,M, ,STORAGE,20050801 0000
SKN,2005-09-01,51216632.858647294,M3,15,M, ,STORAGE,20050901 0000
SKN,2005-10-01,47146142.79474054,M3,15,M, ,STORAGE,20051001 0000
SKN,2005-11-01,46679886.660147585,M3,15,M, ,STORAGE,20051101 0000
SKN,2005-12-01,45408166.88563611,M3,15,M, ,STORAGE,20051201 0000
