STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
SKR,2005-01-01,8597368.407706074,M3,15,M,r,STORAGE,20050101 0000
SKR,2005-02-01,7450230.2987869,M3,15,M,r,STORAGE,20050201 0000
SKR,2005-03-01,6044061.00398275,M3,15,M,r,STORAGE,20050301 0000
SKR,2005-04-01,4132164.155784125,M3,15,M,r,STORAGE,20050401 0000
SKR,2005-05-01,7635252.574419024,M3,15,M,r,STORAGE,20050501 0000
SKR,2005-06-01,11841425.640455998,M3,15,M,r,STORAGE,20050601 0000
SKR,2005-07-01,15788567.520607999,M3,15,M,r,STORAGE,20050701 0000
SKR,2005-08-01,15665219.336853249,M3,15,M,r,STORAGE,20050801 0000
SKR,2005-09-01,14431737.49930575,M3,15,M,r,STORAGE,20050901 0000
SKR,2005-10-01,13198255.66175825,M3,15,M,r,STORAGE,20051001 0000
SKR,2005-11-01,12828211.110493999,M3,15,M,r,STORAGE,20051101 0000
SKR,2005-12-01,11940104.187459799,M3,15,M,r,STORAGE,20051201 0000
