STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
SLB,2005-01-01,18441786.953172673,M3,15,M, ,STORAGE,20050101 0000
SLB,2005-02-01,17582050.112402063,M3,15,M, ,STORAGE,20050201 0000
SLB,2005-03-01,17947160.736316126,M3,15,M, ,STORAGE,20050301 0000
SLB,2005-04-01,12729532.563490199,M3,15,M, ,STORAGE,20050401 0000
SLB,2005-05-01,20969191.2383075,M3,15,M, ,STORAGE,20050501 0000
SLB,2005-06-01,18523196.754450805,M3,15,M, ,STORAGE,20050601 0000
SLB,2005-07-01,19580290.689229015,M3,15,M, ,STORAGE,20050701 0000
SLB,2005-08-01,17108393.086783823,M3,15,M, ,STORAGE,20050801 0000
SLB,2005-09-01,18864871.223451465,M3,15,M, ,STORAGE,20050901 0000
SLB,2005-10-01,17709098.741669457,M3,15,M, ,STORAGE,20051001 0000
SLB,2005-11-01,17033150.694693428,M3,15,M, ,STORAGE,20051101 0000
SLB,2005-12-01,20969191.2383075,M3,15,M, ,STORAGE,20051201 0000
