STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
SLF,2005-01-01,983159033.4356103,M3,15,M, ,STORAGE,20050101 0000
SLF,2005-02-01,1071180297.3629999,M3,15,M, ,STORAGE,20050201 0000
SLF,2005-03-01,1191917200.0676618,M3,15,M, ,STORAGE,20050301 0000
SLF,2005-04-01,1190386449.1072655,M3,15,M, ,STORAGE,20050401 0000
SLF,2005-05-01,1103981046.387063,M3,15,M, ,STORAGE,20050501 0000
SLF,2005-06-01,989087147.1468636,M3,15,M, ,STORAGE,20050601 0000
SLF,2005-07-01,703073546.0655371,M3,15,M, ,STORAGE,20050701 0000
SLF,2005-08-01,465686265.984008,M3,15,M, ,STORAGE,20050801 0000
SLF,2005-09-01,496651594.0338005,M3,15,M, ,STORAGE,20050901 0000
SLF,2005-10-01,582941049.4612734,M3,15,M, ,STORAGE,20051001 0000
SLF,2005-11-01,746510608.9747722,M3,15,M, ,STORAGE,20051101 0000
SLF,2005-12-01,895262351.173813,M3,15,M, ,STORAGE,20051201 0000
