STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
SLN,2005-01-01,29573960.53703886,M3,15,M, ,STORAGE,20050101 0000
SLN,2005-02-01,29882330.996425733,M3,15,M, ,STORAGE,20050201 0000
SLN,2005-03-01,29746647.994295508,M3,15,M,,STORAGE,20050301 0000
SLN,2005-04-01,29501185.108623557,M3,15,M, ,STORAGE,20050401 0000
SLN,2005-05-01,29173078.93983592,M3,15,M, ,STORAGE,20050501 0000
SLN,2005-06-01,28527967.93879858,M3,15,M, ,STORAGE,20050601 0000
SLN,2005-07-01,27211842.818135396,M3,15,M, ,STORAGE,20050701 0000
SLN,2005-08-01,26027700.254089795,M3,15,M, ,STORAGE,20050801 0000
SLN,2005-09-01,25280210.26053601,M3,15,M, ,STORAGE,20050901 0000
SLN,2005-10-01,24595627.840697147,M3,15,M, ,STORAGE,20051001 0000
SLN,2005-11-01,24142940.006317217,M3,15,M, ,STORAGE,20051101 0000
SLN,2005-12-01,24040561.013800774,M3,15,M, ,STORAGE,20051201 0000
