STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
SLS,2005-01-01,19612361.21700525,M3,15,M,r,STORAGE,20050101 0000
SLS,2005-02-01,8354372.485709217,M3,15,M, ,STORAGE,20050201 0000
SLS,2005-03-01,9161069.607465282,M3,15,M, ,STORAGE,20050301 0000
SLS,2005-04-01,9702568.134148635,M3,15,M, ,STORAGE,20050401 0000
SLS,2005-05-01,136916483.96777248,M3,15,M,r,STORAGE,20050501 0000
SLS,2005-06-01,168987011.7440075,M3,15,M,r,STORAGE,20050601 0000
SLS,2005-07-01,156652193.36853248,M3,15,M,r,STORAGE,20050701 0000
SLS,2005-08-01,128282111.10494,M3,15,M,r,STORAGE,20050801 0000
SLS,2005-09-01,101885599.7814235,M3,15,M,r,STORAGE,20050901 0000
SLS,2005-10-01,71749171.52646297,M3,15,M, ,STORAGE,20051001 0000
SLS,2005-11-01,39830362.01624632,M3,15,M, ,STORAGE,20051101 0000
SLS,2005-12-01,74008910.25285,M3,15,M, ,STORAGE,20051201 0000
