STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
SNL,2005-01-01,2233200364.6521854,M3,15,M, ,STORAGE,20050101 0000
SNL,2005-02-01,2427854899.9537187,M3,15,M, ,STORAGE,20050201 0000
SNL,2005-03-01,2503493239.713969,M3,15,M, ,STORAGE,20050301 0000
SNL,2005-04-01,2341683858.7826505,M3,15,M, ,STORAGE,20050401 0000
SNL,2005-05-01,2092234359.8117445,M3,15,M, ,STORAGE,20050501 0000
SNL,2005-06-01,1932341809.6559746,M3,15,M, ,STORAGE,20050601 0000
SNL,2005-07-01,1657026196.5516977,M3,15,M, ,STORAGE,20050701 0000
SNL,2005-08-01,1476738024.21208,M3,15,M, ,STORAGE,20050801 0000
SNL,2005-09-01,1638144056.5825205,M3,15,M, ,STORAGE,20050901 0000
SNL,2005-10-01,1804507452.4580646,M3,15,M, ,STORAGE,20051001 0000
SNL,2005-11-01,2007383144.206852,M3,15,M, ,STORAGE,20051101 0000
SNL,2005-12-01,2335559621.459227,M3,15,M, ,STORAGE,20051201 0000
