STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
SNN,2005-01-01,21129543.877188675,M3,15,M, ,STORAGE,20050101 0000
SNN,2005-02-01,16949273.929740198,M3,15,M, ,STORAGE,20050201 0000
SNN,2005-03-01,18348042.33351906,M3,15,M, ,STORAGE,20050301 0000
SNN,2005-04-01,20623816.323794197,M3,15,M, ,STORAGE,20050401 0000
SNN,2005-05-01,21663641.51284674,M3,15,M, ,STORAGE,20050501 0000
SNN,2005-06-01,21275094.73401928,M3,15,M, ,STORAGE,20050601 0000
SNN,2005-07-01,21711747.304511093,M3,15,M, ,STORAGE,20050701 0000
SNN,2005-08-01,22914392.096119907,M3,15,M, ,STORAGE,20050801 0000
SNN,2005-09-01,21883201.279930197,M3,15,M, ,STORAGE,20050901 0000
SNN,2005-10-01,22224875.748930853,M3,15,M, ,STORAGE,20051001 0000
SNN,2005-11-01,20504168.585552093,M3,15,M, ,STORAGE,20051101 0000
SNN,2005-12-01,22717035.002112307,M3,15,M, ,STORAGE,20051201 0000
