STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
SPB,2005-01-01,26347172.0500146,M3,15,M, ,STORAGE,20050101 0000
SPB,2005-02-01,27642327.979439475,M3,15,M, ,STORAGE,20050201 0000
SPB,2005-03-01,29652903.3746419,M3,15,M, ,STORAGE,20050301 0000
SPB,2005-04-01,28394751.900343448,M3,15,M, ,STORAGE,20050401 0000
SPB,2005-05-01,28536602.31166141,M3,15,M, ,STORAGE,20050501 0000
SPB,2005-06-01,26815895.148282647,M3,15,M, ,STORAGE,20050601 0000
SPB,2005-07-01,24521618.9304443,M3,15,M, ,STORAGE,20050701 0000
SPB,2005-08-01,23479326.777716663,M3,15,M,e,STORAGE,20050801 0000
SPB,2005-09-01,22323554.295934655,M3,15,M,e,STORAGE,20050901 0000
SPB,2005-10-01,22036153.027786087,M3,15,M,e,STORAGE,20051001 0000
SPB,2005-11-01,23781529.8279158,M3,15,M, ,STORAGE,20051101 0000
SPB,2005-12-01,32286387.09780581,M3,15,M,e,STORAGE,20051201 0000
