STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
SPM,2005-01-01,123841576.489769,M3,15,M,r,STORAGE,20050101 0000
SPM,2005-02-01,124705013.77605224,M3,15,M,r,STORAGE,20050201 0000
SPM,2005-03-01,126308540.16486399,M3,15,M,r,STORAGE,20050301 0000
SPM,2005-04-01,133586083.00639424,M3,15,M,r,STORAGE,20050401 0000
SPM,2005-05-01,233251415.48023224,M3,15,M,r,STORAGE,20050501 0000
SPM,2005-06-01,233991504.58276075,M3,15,M,r,STORAGE,20050601 0000
SPM,2005-07-01,215119232.46828398,M3,15,M,r,STORAGE,20050701 0000
SPM,2005-08-01,182555311.95703,M3,15,M,r,STORAGE,20050801 0000
SPM,2005-09-01,151964962.38585198,M3,15,M,r,STORAGE,20050901 0000
SPM,2005-10-01,129762289.30999699,M3,15,M,r,STORAGE,20051001 0000
SPM,2005-11-01,114590462.70816274,M3,15,M,r,STORAGE,20051101 0000
SPM,2005-12-01,129145548.39122324,M3,15,M,r,STORAGE,20051201 0000
