STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
STD,2005-01-01,10873142.397981212,M3,15,M, ,STORAGE,20050101 0000
STD,2005-02-01,18645311.45636801,M3,15,M, ,STORAGE,20050201 0000
STD,2005-03-01,23437388.395240046,M3,15,M, ,STORAGE,20050301 0000
STD,2005-04-01,24998976.40157518,M3,15,M, ,STORAGE,20050401 0000
STD,2005-05-01,26186819.411133423,M3,15,M, ,STORAGE,20050501 0000
STD,2005-06-01,26186819.411133423,M3,15,M, ,STORAGE,20050601 0000
STD,2005-07-01,26100475.682505097,M3,15,M, ,STORAGE,20050701 0000
STD,2005-08-01,25787171.295768034,M3,15,M, ,STORAGE,20050801 0000
STD,2005-09-01,25419593.708178878,M3,15,M, ,STORAGE,20050901 0000
STD,2005-10-01,25166729.93148164,M3,15,M, ,STORAGE,20051001 0000
STD,2005-11-01,25027346.483838774,M3,15,M, ,STORAGE,20051101 0000
STD,2005-12-01,24998976.40157518,M3,15,M, ,STORAGE,20051201 0000
