STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
STG,2005-01-01,49845001.05529447,M3,15,M, ,STORAGE,20050101 0000
STG,2005-02-01,51695223.81161572,M3,15,M, ,STORAGE,20050201 0000
STG,2005-03-01,59268802.29415737,M3,15,M, ,STORAGE,20050301 0000
STG,2005-04-01,61304047.32611075,M3,15,M, ,STORAGE,20050401 0000
STG,2005-05-01,61291712.507735275,M3,15,M, ,STORAGE,20050501 0000
STG,2005-06-01,57134878.7152002,M3,15,M, ,STORAGE,20050601 0000
STG,2005-07-01,58985101.471521445,M3,15,M, ,STORAGE,20050701 0000
STG,2005-08-01,59540168.29841782,M3,15,M, ,STORAGE,20050801 0000
STG,2005-09-01,49261564.1461345,M3,15,M,r,STORAGE,20050901 0000
STG,2005-10-01,43689926.68593245,M3,15,M, ,STORAGE,20051001 0000
STG,2005-11-01,45170104.890989445,M3,15,M, ,STORAGE,20051101 0000
STG,2005-12-01,53015049.37779155,M3,15,M, ,STORAGE,20051201 0000
