STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
STP,2005-01-01,126185191.98110925,M3,15,M,r,STORAGE,20050101 0000
STP,2005-02-01,127048629.26739249,M3,15,M,r,STORAGE,20050201 0000
STP,2005-03-01,134326172.10892275,M3,15,M,r,STORAGE,20050301 0000
STP,2005-04-01,154925318.795966,M3,15,M,r,STORAGE,20050401 0000
STP,2005-05-01,212652268.793189,M3,15,M,r,STORAGE,20050501 0000
STP,2005-06-01,235718379.15532723,M3,15,M,r,STORAGE,20050601 0000
STP,2005-07-01,222766819.8610785,M3,15,M,r,STORAGE,20050701 0000
STP,2005-08-01,216476062.48958623,M3,15,M,r,STORAGE,20050801 0000
STP,2005-09-01,212158876.05817,M3,15,M,r,STORAGE,20050901 0000
STP,2005-10-01,211769095.797505,M3,15,M, ,STORAGE,20051001 0000
STP,2005-11-01,211048742.40437725,M3,15,M,r,STORAGE,20051101 0000
STP,2005-12-01,236335120.074101,M3,15,M,r,STORAGE,20051201 0000
