STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
SVO,2005-01-01,36372912.42560068,M3,15,M, ,STORAGE,20050101 0000
SVO,2005-02-01,50602358.903548636,M3,15,M, ,STORAGE,20050201 0000
SVO,2005-03-01,32460308.03690001,M3,15,M, ,STORAGE,20050301 0000
SVO,2005-04-01,7111022.793461337,M3,15,M, ,STORAGE,20050401 0000
SVO,2005-05-01,917710.48713534,M3,15,M,e,STORAGE,20050501 0000
SVO,2005-06-01,1533217.9240715425,M3,15,M, ,STORAGE,20050601 0000
SVO,2005-07-01,2353483.34604063,M3,15,M, ,STORAGE,20050701 0000
SVO,2005-08-01,125815.14742984499,M3,15,M, ,STORAGE,20050801 0000
SVO,2005-09-01,66608.01922756499,M3,15,M, ,STORAGE,20050901 0000
SVO,2005-10-01,246696.36750949998,M3,15,M, ,STORAGE,20051001 0000
SVO,2005-11-01,76475.873927945,M3,15,M, ,STORAGE,20051101 0000
SVO,2005-12-01,88810.69230342,M3,15,M, ,STORAGE,20051201 0000
