STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE
SVT,2005-01-01,92180564.68359977,M3,15,M, ,STORAGE,20050101 0000
SVT,2005-02-01,99460574.48880512,M3,15,M, ,STORAGE,20050201 0000
SVT,2005-03-01,100356082.3028646,M3,15,M, ,STORAGE,20050301 0000
SVT,2005-04-01,98063039.56686379,M3,15,M, ,STORAGE,20050401 0000
SVT,2005-05-01,96611231.44407038,M3,15,M, ,STORAGE,20050501 0000
SVT,2005-06-01,91292457.76056556,M3,15,M, ,STORAGE,20050601 0000
SVT,2005-07-01,86362230.8558882,M3,15,M, ,STORAGE,20050701 0000
SVT,2005-08-01,82019141.30588347,M3,15,M, ,STORAGE,20050801 0000
SVT,2005-09-01,77890677.59561197,M3,15,M, ,STORAGE,20050901 0000
SVT,2005-10-01,75248559.49958523,M3,15,M, ,STORAGE,20051001 0000
SVT,2005-11-01,73584592.50073366,M3,15,M, ,STORAGE,20051101 0000
SVT,2005-12-01,73473579.13535438,M3,15,M, ,STORAGE,20051201 0000
